symbol,side,news,price
GOOG,B,50,795.78
GOOGL,B,50,816.145
HSIC,B,50,159.75
ILMN,B,50,162.238
INCY,B,50,124.465
INTC,B,50,37.43
INTU,B,50,119.076
ISRG,B,50,697.15
AAL,B,100,43.083333
AAPL,B,100,126.925
ADBE,B,100,113.455
ADI,B,100,74.831667
ADP,B,100,98.948
ADSK,B,100,81.875
AKAM,B,100,69.0675
ALXN,B,100,136.804
AMAT,B,100,35.064
AMGN,B,100,160.058
AMZN,B,100,830.37
ATVI,B,100,0
AVGO,B,100,206.3
BBBY,B,100,40.248
BIDU,B,100,173.58
BIIB,B,100,283.048333
BMRN,B,100,88.782857
CA,B,100,31.20375
CELG,B,100,119.32
CERN,B,100,56.066
CHKP,B,100,98.516667
CHTR,B,100,322.998
CMCSA,B,100,76.137143
COST,B,100,161.8675
CSCO,B,100,32.214286
CSX,B,100,45.821429
CTRP,B,100,46.346667
CTSH,B,100,52.044444
CTXS,B,100,71.296667
DISCA,B,100,29.796
DISCK,B,100,27.495
DISH,B,100,60.8275
DLTR,B,100,76.49
EA,B,100,84.361111
EBAY,B,100,30.484
ESRX,B,100,69.373333
EXPE,B,100,120.805
FAST,B,100,49.716667
FB,B,100,133.3325
FISV,B,100,103.925
FOX,B,100,30.646667
FOXA,B,100,31.865
GILD,B,100,75.156
GOOG,B,100,794.785
GOOGL,B,100,815.3
HSIC,B,100,159.91
ILMN,B,100,162.30125
INCY,B,100,124.452
INTC,B,100,36.323333
INTU,B,100,119.02
ISRG,B,100,694.512
AAL,S,0,42.277727
AAPL,S,0,128.130385
ADBE,S,0,111.9905
ADI,S,0,75.932
ADP,S,0,96.11125
ADSK,S,0,81.3296
AKAM,S,0,69.887857
ALXN,S,0,134.43875
AMAT,S,0,33.678214
AMGN,S,0,159.936667
AMZN,S,0,831.788621
ATVI,S,0,38.825172
AVGO,S,0,205.748077
BBBY,S,0,40.2844
BIDU,S,0,173.796522
BIIB,S,0,283.152222
BMRN,S,0,88.865
CA,S,0,32.853448
CELG,S,0,117.742083
CERN,S,0,55.850417
CHKP,S,0,98.5944
CHTR,S,0,324.928333
CMCSA,S,0,78.756364
COST,S,0,163.484
CSCO,S,0,32.5095
CSX,S,0,45.474667
CTRP,S,0,44.5875
CTSH,S,0,51.5995
CTXS,S,0,70.067391
DISCA,S,0,30.049643
DISCK,S,0,27.413529
DISH,S,0,62.952273
DLTR,S,0,75.830323
EA,S,0,84.101579
EBAY,S,0,30.49
ESRX,S,0,69.722069
EXPE,S,0,120.532069
FAST,S,0,50.681905
FB,S,0,133.415556
FISV,S,0,104.0532
FOX,S,0,30.294667
FOXA,S,0,30.729545
GILD,S,0,74.471818
GOOG,S,0,795.157778
GOOGL,S,0,815.394286
HSIC,S,0,160.083929
ILMN,S,0,162.6156
INCY,S,0,127.156842
INTC,S,0,35.781786
INTU,S,0,119.371818
ISRG,S,0,696.859
AAL,S,50,43.54
AAPL,S,50,127.691667
ADBE,S,50,113.261667
ADI,S,50,76.325
ADP,S,50,98.3225
ADSK,S,50,80.886667
AKAM,S,50,69.196
ALXN,S,50,133.4475
AMAT,S,50,33.966667
AMGN,S,50,160.208333
AMZN,S,50,832.396667
ATVI,S,50,39.177143
AVGO,S,50,205.75
BBBY,S,50,39.47
BIDU,S,50,174.422857
BIIB,S,50,282.043333
BMRN,S,50,88.89
CA,S,50,33.046
CELG,S,50,120.58
CERN,S,50,58.705
CHKP,S,50,100.453333
CHTR,S,50,325.1325
CMCSA,S,50,75.866
COST,S,50,163.695
CSCO,S,50,33.921667
CSX,S,50,45.108333
CTRP,S,50,46.496667
CTSH,S,50,49.872
CTXS,S,50,72.665
DISCA,S,50,29.108
DISCK,S,50,27.556667
DISH,S,50,63.033333
DLTR,S,50,72.115
EA,S,50,84.376
EBAY,S,50,33.1
ESRX,S,50,69.135
